City,Cuisine,count
Barcelona,"[ 'Healthy', 'Street Food', 'Venezuelan', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Barcelona,"[ 'Mediterranean', 'Wine Bar' ]",3
Barcelona,"[ 'Cafe', 'European', 'Spanish', 'Vegetarian Friendly' ]",2
Barcelona,"[ 'Belgian', 'European' ]",2
Barcelona,"[ 'Sushi', 'Asian', 'Thai' ]",1
Barcelona,"[ 'Italian', 'Pizza', 'Mediterranean', 'European', 'Spanish' ]",1
Barcelona,"[ 'Sushi', 'Japanese' ]",1
Berlin,"[ 'Bar', 'Pub', 'Vegetarian Friendly' ]",1
Berlin,"[ 'Middle Eastern', 'Afghani' ]",1
Berlin,"[ 'Pizza', 'Italian', 'Bar', 'Cafe' ]",1
Brussels,"[ 'Lebanese', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options' ]",6
Brussels,"[ 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Brussels,"[ 'Fusion', 'Vegetarian Friendly' ]",1
Budapest,"[ 'Bar', 'European', 'Wine Bar', 'Central European', 'Hungarian', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Budapest,[ 'Street Food' ],3
Budapest,"[ 'International', 'European', 'Hungarian', 'Central European', 'Vegetarian Friendly', 'Vegan Options' ]",1
Budapest,"[ 'French', 'European' ]",1
Copenhagen,"[ 'American', 'Steakhouse', 'European', 'Danish', 'Gluten Free Options' ]",1
Copenhagen,"[ 'Seafood', 'European', 'International', 'Gluten Free Options' ]",1
Copenhagen,"[ 'Italian', 'Pizza', 'European' ]",9
Copenhagen,"[ 'Asian', 'Korean' ]",2
Copenhagen,"[ 'Asian', 'Grill' ]",1
Dublin,"[ 'French', 'Irish', 'European', 'Vegetarian Friendly', 'Gluten Free Options' ]",2
Dublin,"[ 'Barbecue', 'Asian', 'Korean', 'Gluten Free Options' ]",1
Dublin,"[ 'Irish', 'Bar', 'Pub', 'European', 'Vegetarian Friendly' ]",1
Edinburgh,"[ 'Bar', 'British' ]",4
Edinburgh,"[ 'Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly' ]",2
Edinburgh,"[ 'Pizza', 'Cafe', 'Soups' ]",1
Edinburgh,"[ 'Asian', 'Nepali' ]",1
Geneva,"[ 'Lebanese', 'Middle Eastern', 'Mediterranean', 'Halal' ]",1
